Language_ID,Feature_ID,Value,Value_from_WALS
Bakhtiyari,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,FALSE
Balochi,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,FALSE
Gilaki,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,FALSE
Ishkashimi,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,Windfuhr
Judeo-Tati,Gender_Distinctions_in_Independent_Personal_Pronouns,,FALSE
Kumzari,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,FALSE
Modern_Persian,Gender_Distinctions_in_Independent_Personal_Pronouns,3rd_person_singular_only,TRUE
NK,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,TRUE
NWK,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,TRUE
Ormuri,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,Same_as_lexicon
Ossetic_Iron,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,TRUE
Parachi,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,Windfuhr
SEK,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,TRUE
Shughni,Gender_Distinctions_in_Independent_Personal_Pronouns,3rd_person_singular_only,Windfuhr
SK,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,TRUE
SWK,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,TRUE
Taleshi,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,Same_as_lexicon
Wakhi,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,Windfuhr
Waziri,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,FALSE
Yaghnobi,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,Iranica
Zazaki,Gender_Distinctions_in_Independent_Personal_Pronouns,3rd_person_singular_only,FALSE
Pashto,Gender_Distinctions_in_Independent_Personal_Pronouns,No_gender_distinctions,FALSE
Bakhtiyari,Order_of_Demonstrative_and_Noun,Demonstrative_suffix,FALSE
Balochi,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,FALSE
Gilaki,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,FALSE
Ishkashimi,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,Same_as_lexicon
Judeo-Tati,Order_of_Demonstrative_and_Noun,,FALSE
Kumzari,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,Same_as_lexicon
Modern_Persian,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,TRUE
NK,Order_of_Demonstrative_and_Noun,Mixed,TRUE
NWK,Order_of_Demonstrative_and_Noun,Mixed,TRUE
Ormuri,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,Iranica
Ossetic_Iron,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,TRUE
Parachi,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,Windfuhr
SEK,Order_of_Demonstrative_and_Noun,Mixed,TRUE
Shughni,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,Windfuhr
SK,Order_of_Demonstrative_and_Noun,Mixed,TRUE
SWK,Order_of_Demonstrative_and_Noun,Mixed,TRUE
Taleshi,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,TRUE
Wakhi,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,TRUE
Waziri,Order_of_Demonstrative_and_Noun,,FALSE
Yaghnobi,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,Khromov
Zazaki,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,TRUE
Pashto,Order_of_Demonstrative_and_Noun,Demonstrative-Noun,TRUE
Bakhtiyari,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,FALSE
Balochi,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,FALSE
Gilaki,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,FALSE
Ishkashimi,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,Same_as_lexicon
Judeo-Tati,Position_of_Pronominal_Possessive_Affixes,,FALSE
Kumzari,Position_of_Pronominal_Possessive_Affixes,No_possessive_affixes,Same_as_lexicon
Modern_Persian,Position_of_Pronominal_Possessive_Affixes,No_possessive_affixes,TRUE
NK,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,TRUE
NWK,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,TRUE
Ormuri,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,Same_as_lexicon
Ossetic_Iron,Position_of_Pronominal_Possessive_Affixes,No_possessive_affixes,TRUE
Parachi,Position_of_Pronominal_Possessive_Affixes,No_possessive_affixes,Windfuhr
SEK,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,TRUE
Shughni,Position_of_Pronominal_Possessive_Affixes,Noun-Genitive,Windfuhr
SK,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,TRUE
SWK,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,TRUE
Taleshi,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,FALSE
Wakhi,Position_of_Pronominal_Possessive_Affixes,No_possessive_affixes,TRUE
Waziri,Position_of_Pronominal_Possessive_Affixes,,FALSE
Yaghnobi,Position_of_Pronominal_Possessive_Affixes,Possessive_suffixes,Khromov
Zazaki,Position_of_Pronominal_Possessive_Affixes,No_possessive_affixes,FALSE
Pashto,Position_of_Pronominal_Possessive_Affixes,No_possessive_affixes,TRUE
Bakhtiyari,Order_of_Adposition_and_Noun_Phrase,Prepositions,Same_as_lexicon
Balochi,Order_of_Adposition_and_Noun_Phrase,No_dominant_order,DiACL
Gilaki,Order_of_Adposition_and_Noun_Phrase,Postpositions,DiACL
Ishkashimi,Order_of_Adposition_and_Noun_Phrase,No_dominant_order,Same_as_lexicon
Judeo-Tati,Order_of_Adposition_and_Noun_Phrase,Postpositions,WALS
Kumzari,Order_of_Adposition_and_Noun_Phrase,Prepositions,Same_as_lexicon
