Language_ID,Feature_ID,IPA,Value,BORROWED
Bakhtiyari,1SG,mo,1,?
Balochi,1SG,man,1,?
Gilaki,1SG,mʔn,1,?
Judeo-Tati,1SG,me,1,?
Kumzari,1SG,meh,1,?
Modern_Persian,1SG,man,1,?
Ormuri,1SG,az,2,?
Ossetic_Iron,1SG,æz,2,?
Parachi,1SG,mon,1,?
Shughni,1SG,wuz,2,?
Taleshi,1SG,az,2,?
Wakhi,1SG,wuz,2,?
Waziri,1SG,ze,2,?
Yaghnobi,1SG,man,1,?
Zazaki,1SG,ez,2,?
SEK,1SG,ɛz,2,?
SK,1SG,ɛz,2,?
NK,1SG,ɛz,2,?
SWK,1SG,ɛz,2,?
NWK,1SG,æz,2,?
Zebaki,1SG,az,2,?
Ishkashimi,1SG,az,2,?
Pashto,1SG,zə,2,?
Bakhtiyari,2SG,to,4,?
Balochi,2SG,taw,4,?
Gilaki,2SG,tu,4,?
Judeo-Tati,2SG,tu,4,?
Kumzari,2SG,to,4,?
Modern_Persian,2SG,to,4,?
Ormuri,2SG,tu,4,?
Ossetic_Iron,2SG,dɨ,4,?
Parachi,2SG,to,4,?
Shughni,2SG,tu,4,?
Taleshi,2SG,tɨ,4,?
Wakhi,2SG,tu,4,?
Waziri,2SG,tus,4,?
Yaghnobi,2SG,tu,4,?
Zazaki,2SG,to,4,?
SEK,2SG,tu,4,?
SK,2SG,tɨ,4,?
NK,2SG,tu,4,?
SWK,2SG,tu,4,?
NWK,2SG,tu,4,?
Zebaki,2SG,to,4,?
Ishkashimi,2SG,tu,4,?
Pashto,2SG,tə,4,?
Bakhtiyari,3SG,ho,7,?
Balochi,3SG,ʔa,7,?
Gilaki,3SG,un,8,?
Judeo-Tati,3SG,u,8,?
Kumzari,3SG,je,9,?
Modern_Persian,3SG,u,8,?
Ormuri,3SG,ʔa,7,?
Ossetic_Iron,3SG,uɨj,12,?
Parachi,3SG,o,8,?
Shughni,3SG,ju,9,?
Taleshi,3SG,əv,10,?
Wakhi,3SG,jaw,9,?
Waziri,3SG,agʔa,16,?
Yaghnobi,3SG,ax,8,?
Zazaki,3SG,o,8,?
SEK,3SG,ɛw,10,?
SK,3SG,ɛw,10,?
NK,3SG,ɛw,10,?
SWK,3SG,hɛw,10,?
NWK,3SG,æw,10,?
Zebaki,3SG,ao,8,?
Pashto,3SG,je,9,?
Bakhtiyari,ant,mur,18,?
Balochi,ant,mor,18,?
Gilaki,ant,mur,18,?
Judeo-Tati,ant,muʒine,18,?
Kumzari,ant,giraʁ,19,?
Modern_Persian,ant,murʧa,18,?
Ormuri,ant,murcʧa,18,?
Ossetic_Iron,ant,mældzɨg,20,?
Parachi,ant,murʧ,18,?
Shughni,ant,murʒak,18,?
Taleshi,ant,muʒ,18,?
Wakhi,ant,mirpriʧ,18,?
Yaghnobi,ant,murʧak,18,?
Zazaki,ant,montsle,20,?
SEK,ant,mery,18,?
SK,ant,miro,18,?
NK,ant,mɨrʤolɛk,18,?
SWK,ant,morɨ,18,?
NWK,ant,gera,19,?
Pashto,ant,murʧa,18,?
Bakhtiyari,ash,hol,22,?
Balochi,ash,pʔur,22,?
Gilaki,ash,xak,25,?
Judeo-Tati,ash,xokister,25,?
Kumzari,ash,xariʃtin,25,?
Modern_Persian,ash,xakestar,25,?
Ormuri,ash,xokistar,25,1
Ossetic_Iron,ash,ærtxutæg,27,?
Parachi,ash,bhoʔ,22,?
Shughni,ash,ʔir,24,?
Taleshi,ash,xok,25,?
Wakhi,ash,perg,22,?
Waziri,ash,tra,24,?
Yaghnobi,ash,xoxistar,25,1
Zazaki,ash,wel,26,?
SEK,ash,xuli,26,?
SK,ash,xwɛli,26,?
NK,ash,xwɛli,26,?
SWK,ash,arɨ,28,?
NWK,ash,xæli,26,?
Ishkashimi,ash,usur,24,?
Pashto,ash,ira,24,?
Bakhtiyari,back,gorde,29,?
Balochi,back,pʔuʔt,30,?
Gilaki,back,pəs,30,?
Judeo-Tati,back,pesovo,30,?
Kumzari,back,kamar,31,?
Modern_Persian,back,poʔt,30,?
Ormuri,back,pets,30,?
Ossetic_Iron,back,fæsontæ,30,?
Parachi,back,peʃput,30,?
Shughni,back,dam,34,?
Taleshi,back,pas,30,?
Wakhi,back,dam,34,?
Waziri,back,ʃamzai,35,?
Yaghnobi,back,arka,36,?
Zazaki,back,paʃti,30,?
